Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS52,13.09905,77.57135
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS54,13.09913,77.57144
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS35,13.09971,77.572
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS39,13.09945,77.57246
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS25,13.10237,77.57383
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS27,13.1022,77.57368
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS26,13.10238,77.57364
Morgan Stanley,Chowdeshwari Park,,Yelahanka Zone,,,MS28,13.1023,77.57404
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS1,13.10321,77.57446
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS2,13.10332,77.57448
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS3,13.10321,77.57487
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS4,13.10313,77.57483
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS5,13.10309,77.5748
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS6,13.10294,77.57479
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS7,13.10286,77.57448
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS8,13.10297,77.57446
Morgan Stanley,Panchakshari Gawai Park,,Yelahanka Zone,,,MS9,13.10299,77.57451
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS142,12.99692,77.48622
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS143,12.99688,77.48628
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS144,12.99677,77.48619
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS145,12.99689,77.4862
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS146,12.99675,77.48625
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS147,12.99675,77.4863
